Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8
0.895,0.1375,0.06,0.05,0.0,0.0,0.005,0.015
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.25,0.005,0.0,0.0,0.0,0.0,0.0
1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.785,0.025,0.335,0.005,0.0,0.0,0.0,0.12
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.095,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.58,0.0,0.0,0.0,0.0,0.005
1.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.025,0.745,0.0,0.0,0.0,0.0,0.005
0.89,0.11,0.14,0.07,0.01,0.0,0.015,0.0
0.995,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.015,0.0,0.005,0.0,0.0,0.0,0.0
0.975,0.02,0.0,0.0,0.0,0.0,0.0,0.015
0.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.985,0.0,0.07,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.94,0.0,0.105,0.0,0.0,0.02,0.0,0.0
0.87,0.005,0.095,0.02,0.0,0.0,0.0,0.01
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.925,0.105,0.015,0.015,0.0,0.0,0.0,0.025
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.165,0.015,0.95,0.0,0.0,0.0,0.005,0.005
0.095,0.75,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.98,0.025,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055,0.93,0.0,0.0,0.0,0.0,0.0,0.15
0.05425000000000001,0.935,0.0,0.01,0.0,0.0,0.0,0.0
0.01,0.94,0.005,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.01,0.145,0.0,0.0,0.0,0.0,0.93
0.005,0.005,0.9333333333333332,0.015,0.0,0.0,0.0,0.045
0.0,0.0,0.995,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.98,0.005,0.0,0.0,0.0,0.0
0.0,0.02,0.835,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.165,0.01,0.85,0.0,0.0,0.0,0.005,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.995,0.0,0.0,0.0,0.0,0.005
0.0175,0.0,0.94,0.0,0.0,0.0,0.0,0.07
0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0
0.005,0.0,0.955,0.01,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.04,0.005,0.96,0.055,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.005,0.0,0.945,0.015,0.0,0.0,0.0,0.02
0.0,0.005,0.935,0.04650000000000001,0.0,0.0,0.0,0.045
0.0,0.0,0.945,0.05,0.0,0.0,0.0,0.0
0.1,0.0,0.79,0.025,0.0,0.0,0.0,0.01
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.95,0.015,0.0,0.0,0.0,0.0
0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.03
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.915,0.0,0.0,0.0,0.165
0.0,0.01,0.025,0.86,0.0,0.0,0.0,0.05
0.025,0.0,0.005,0.965,0.0,0.815,0.0,0.0
0.04,0.0,0.025,0.895,0.0,0.0,0.0,0.04
0.0,0.0,0.005,0.96,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.91,0.0,0.0,0.0,0.035
0.175,0.05,0.1,0.83,0.0,0.0,0.0,0.085
